Sm	150.4	185	238	1.17	None	122	95.8	None	47	3	6	5.6436	1074	1794	57.3	7.52	62
Eu	152	185	231	1.2	None	117	94.7	None	47	3	6	5.6704	None	None	None	None	63
Gd	157.3	180	233	1.2	None	None	93.5	None	47	3	6	6.1501	1313	3273	63.3	7.9	64
Tb	158.9	175	225	1.1	None	None	92.3	None	47	3	6	5.8638	1356	3230	67.9	8.23	65
Dy	162.5	175	228	1.22	None	107	91.2	None	47	3	6	5.9389	1412	2567	68.1	8.55	66
Ho	164.9	175		1.23	None	None	90.1	None	47	3	6	6.0215	None	None	None	None	67
Er	167.3	175	226	1.24	None	None	89	None	47	3	6	6.1077	None	None	None	None	68
Tm	168.9	175	222	1.25	99	103	88	None	47	3	6	6.18431	1545	1950	99.7	9.32	69
Yb	173	175	222	1.1	None	102	86.8	None	47	3	6	6.25416	819	1196	44.3	6.9	70
Lu	175	175	217	1.27	33	None	86.1	None	47	3	6	5.4259	1663	3402	126	9.84	71
Hf	178.5	155	208	1.3	None	None	None	None	0	4	6	6.82507	None	None	None	None	72
Ta	180.9	145	200	1.5	31	None	72	None	31.1	5	6	7.5496	3007	5458	202.1	16.4	73
W	183.9	135	193	2.36	79	None	None	None	78.6	6	6	7.864	3414	5555	284.5	19.3	74
Re	186.2	135	188	1.9	15	None	None	None	14.5	7	6	7.8335	3186	5596	324.5	20.8	75
Os	190.2	130	185	2.2	104	None	None	None	106.1	8	6	8.4382	3033	5012	304.1	22.59	76
Ir	192.2	135	180	2.2	150	None	68	None	151	9	6	8.967	2446	4428	213.9	22.5	77
Pt	195.1	135	177	2.28	205	80	None	None	205.3	10	6	8.9587	1768.2	3825	113.6	21.5	78
Au	197	135	174	2.54	223	None	85	None	222.8	11	6	9.2255	None	None	None	None	79
Hg	200.6	150	171	2	None	102	None	None	-48	12	6	10.4375	-38.83	356.62	11.4	13.5336	80
Tl	240.4	190	156	1.62	36	None	88.5	None	19	13	6	6.1082	304	1473	20.3	11.8	81
Pb	207.2	180	154	1.87	35	119	None	None	35.1	14	6	7.41666	327.46	1749	23.1	11.3	82
Bi	209	160	143	2.02	91	None	103	None	91.3	15	6	7.2856	271.4	1564	53.3	9.79	83
Po	209	190	135	2	None	None	None	None	183	16	6	8.417	None	None	None	None	84
At	210	None	None	2.2	None	None	None	None	270	17	6	None	None	None	None	None	85
Rn	222	None	120	2.2	None	None	None	None	-68	18	6	10.7485	None	None	None	None	86
Fr	223	None	None	0.7	None	None	None	None	58	1	7	4.0727	None	None	None	None	87
Ra	226	215	None	0.9	None	148	None	None	-29	2	7	5.2784	700	None	None	5	88
Ac	227	195	None	1.1	None	None	112	None	None	3	7	5.17	1051	3198	None	10	89
Th	232	180	None	1.3	None	None	None	None	None	3	7	6.3067	1750	4788	59.5	11.7	90
Pa	231	180	None	1.5	None	None	104	None	None	3	7	5.89	1572	None	53.4	15.4	91
U	238	175	None	1.38	None	None	102.5	None	None	3	7	6.19405	1135	4131	38.4	19.1	92
Np	237.1	175	None	1.36	None	110	101	None	None	3	7	6.2657	644	None	13.5	20.2	93
Pu	244.1	175	None	1.28	None	None	100	None	None	3	7	6.0262	640	3228	11.6	19.7	94
Am	243.1	175	None	1.13	None	126	97.5	None	None	3	7	5.9738	1176	2011	None	12	95
Cm	247.1	None	None	1.28	None	None	97	None	None	3	7	5.9915	None	None	None	None	96
Bk	247.1	None	None	1.3	None	None	96	None	None	3	7	6.1979	None	None	None	None	97
Cf	252.1	None	None	1.3	None	None	95	None	None	3	7	6.2817	None	None	None	None	98
Es	252.1	None	None	1.3	None	None	83.5	None	None	3	7	6.42	None	None	None	None	99
Fm	257.1	None	None	1.3	None	None	None	None	None	3	7	6.5	None	None	None	None	100
Md	258.1	None	None	1.3	None	None	None	None	None	3	7	6.58	None	None	None	None	101
No	259.1	None	None	1.3	None	None	None	None	None	3	7	6.65	None	None	None	None	102
Lr	262.1	None	None	None	None	None	None	None	None	3	7	4.9	None	None	None	None	103
Rf	265.1	None	None	None	None	None	None	None	None	4	7	6	None	None	None	None	104
Db	268.1	None	None	None	None	None	None	None	None	5	7	None	None	None	None	None	105
Sg	271.1	None	None	None	None	None	None	None	None	6	7	None	None	None	None	None	106
Bh	270.1	None	None	None	None	None	None	None	None	7	7	None	None	None	None	None	107
Hs	277.2	None	None	None	None	None	None	None	None	8	7	None	None	None	None	None	108
Mt	276.2	None	None	None	None	None	None	None	None	9	7	None	None	None	None	None	109
Ds	281.2	None	None	None	None	None	None	None	None	10	7	None	None	None	None	None	110
Rg	280.2	None	None	None	None	None	None	None	None	11	7	None	None	None	None	None	111
Cn	285.2	None	None	None	None	None	None	None	None	12	7	None	None	None	None	None	112
Uut	284.2	None	None	None	None	None	None	None	None	13	7	None	None	None	None	None	113
Uuq	289.2	None	None	None	None	None	None	None	None	14	7	None	None	None	None	None	114
Uup	288.2	None	None	None	None	None	None	None	None	15	7	None	None	None	None	None	115
Uuh	293.2	None	None	None	None	None	None	None	None	16	7	None	None	None	None	None	116
Uus	294.2	None	None	None	None	None	None	None	None	17	7	None	None	None	None	None	117
Uuo	294.2	None	None	None	None	None	None	None	None	18	7	None	None	None	None	None	118
